candidate_id,jd_id,resume_category,jd_title,role_level,skill_overlap_count,skill_overlap_ratio,resume_total_skills,experience_years,min_exp_years,exp_meets_requirement,education_level,sbert_similarity,exp_score,edu_score,ats_score,ats_grade
16852973,BA-101,HR,Business Analyst,fresher,2,0.2,41,25.42,0.0,1,2,0.3195,1.0,0.6666666666666666,43.65,D
16852973,IOS-F-07,HR,Junior Swift Developer,fresher,1,0.2,41,25.42,0.0,1,2,0.141,1.0,0.6666666666666666,39.19,D
16852973,IOS-F-08,HR,iOS Developer Trainee,fresher,1,0.2,41,25.42,0.0,1,2,0.0486,1.0,0.6666666666666666,36.88,D
16852973,IOS-F-09,HR,Associate iOS Engineer,fresher,1,0.2,41,25.42,0.0,1,2,0.1142,1.0,0.6666666666666666,38.52,D
16852973,IOS-F-10,HR,iOS Junior Developer,fresher,1,0.2,41,25.42,0.0,1,2,0.0904,1.0,0.6666666666666666,37.93,D
16852973,OM-104,HR,Operations Manager,manager,2,0.2,41,25.42,6.0,1,2,0.4018,1.0,0.5,44.04,D
16852973,IOS-F-04,HR,Entry-level iOS Developer,fresher,1,0.1667,41,25.42,0.0,1,2,0.0754,1.0,0.6666666666666666,36.05,D
16852973,IOS-F-05,HR,Graduate iOS Developer,fresher,1,0.1667,41,25.42,0.0,1,2,0.0797,1.0,0.6666666666666666,36.16,D
16852973,IOS-F-06,HR,Trainee iOS Developer,fresher,1,0.1667,41,25.42,0.0,1,2,0.1054,1.0,0.6666666666666666,36.8,D
16852973,IOS-E-06,HR,iOS Solutions Engineer,unknown,1,0.1667,41,25.42,3.0,1,2,0.0916,1.0,0.6666666666666666,36.46,D
22323967,GD-117,HR,Graphic Designer,mid,4,0.4,44,16.33,3.0,1,4,0.5552,1.0,1.0,61.88,B
22323967,GD-120,HR,Graphic Designer,mid,4,0.4,44,16.33,2.0,1,4,0.5491,1.0,1.0,61.73,B
22323967,UIF008,HR,UI Designer,fresher,2,0.4,44,16.33,0.0,1,4,0.4457,1.0,1.0,59.14,C
22323967,GD-102,HR,Graphic Designer,mid,3,0.3,44,16.33,2.0,1,4,0.5647,1.0,1.0,57.62,C
22323967,GD-104,HR,Graphic Designer,fresher,3,0.3,44,16.33,0.0,1,4,0.5662,1.0,1.0,57.66,C
22323967,GD-105,HR,Graphic Designer,mid,3,0.3,44,16.33,3.0,1,4,0.5842,1.0,1.0,58.1,C
22323967,GD-108,HR,Graphic Designer,mid,3,0.3,44,16.33,2.0,1,4,0.5489,1.0,1.0,57.22,C
22323967,GD-111,HR,Graphic Designer,mid,3,0.3,44,16.33,3.0,1,4,0.5355,1.0,1.0,56.89,C
22323967,GD-114,HR,Graphic Designer,mid,3,0.3,44,16.33,2.0,1,4,0.552,1.0,1.0,57.3,C
22323967,GD-103,HR,Graphic Designer,unknown,2,0.2,44,16.33,5.0,1,4,0.5402,1.0,1.0,52.5,C
33176873,JD-JAVA-005,HR,Java Developer,fresher,1,0.25,44,0.0,0.0,1,4,0.2339,1.0,1.0,47.1,C
33176873,NE019,HR,Principal Network Engineer,lead,1,0.2,44,0.0,10.0,0,4,0.3301,0.0,1.0,27.25,F
33176873,OM-106,HR,Operations Manager,manager,2,0.2,44,0.0,7.0,0,4,0.4334,0.0,1.0,29.84,F
33176873,OM-111,HR,Operations Manager,manager,2,0.2,44,0.0,6.0,0,4,0.4518,0.0,1.0,30.3,D
33176873,OM-116,HR,Operations Manager,manager,2,0.2,44,0.0,7.0,0,4,0.4283,0.0,1.0,29.71,F
33176873,BI008,HR,BI Analyst - Fresher,junior,1,0.125,44,0.0,0.0,1,4,0.3883,1.0,1.0,45.33,C
33176873,MRA-108,HR,Market Research Analyst,mid,1,0.1111,44,0.0,2.0,0,4,0.3195,0.0,1.0,22.99,F
33176873,MRA-111,HR,Market Research Analyst,mid,1,0.1111,44,0.0,2.0,0,4,0.3599,0.0,1.0,24.0,F
33176873,MRA-114,HR,Market Research Analyst,mid,1,0.1111,44,0.0,2.0,0,4,0.3316,0.0,1.0,23.29,F
33176873,MRA-117,HR,Market Research Analyst,mid,1,0.1111,44,0.0,2.0,0,4,0.3599,0.0,1.0,24.0,F
27018550,BI008,HR,BI Analyst - Fresher,junior,1,0.125,18,5.92,0.0,1,2,0.49,1.0,0.6666666666666666,44.54,D
27018550,MRA-108,HR,Market Research Analyst,mid,1,0.1111,18,5.92,2.0,1,2,0.4372,1.0,0.6666666666666666,42.6,D
27018550,MRA-111,HR,Market Research Analyst,mid,1,0.1111,18,5.92,2.0,1,2,0.4484,1.0,0.6666666666666666,42.88,D
27018550,MRA-114,HR,Market Research Analyst,mid,1,0.1111,18,5.92,2.0,1,2,0.4142,1.0,0.6666666666666666,42.02,D
27018550,MRA-117,HR,Market Research Analyst,mid,1,0.1111,18,5.92,2.0,1,2,0.4484,1.0,0.6666666666666666,42.88,D
27018550,MRA-120,HR,Market Research Analyst,mid,1,0.1111,18,5.92,2.0,1,2,0.4142,1.0,0.6666666666666666,42.02,D
27018550,BA-101,HR,Business Analyst,fresher,1,0.1,18,5.92,0.0,1,2,0.4914,1.0,0.6666666666666666,43.45,D
27018550,BA-104,HR,Business Analyst,unknown,1,0.1,18,5.92,6.0,0,2,0.4992,0.9866666666666667,0.6666666666666666,43.38,D
27018550,BA-105,HR,Business Analyst,fresher,1,0.1,18,5.92,0.0,1,2,0.4644,1.0,0.6666666666666666,42.78,D
27018550,BA-108,HR,Business Analyst,unknown,1,0.1,18,5.92,6.0,0,2,0.4828,0.9866666666666667,0.6666666666666666,42.97,D
17812897,JD-JAVA-004,HR,Java Developer,fresher,1,0.25,81,23.33,0.0,1,3,0.3011,1.0,1.0,48.78,C
17812897,CSA-F-007,HR,Cybersecurity Support Analyst,fresher,1,0.2,81,23.33,0.0,1,3,0.3394,1.0,1.0,47.48,C
17812897,JD-JAVA-020,HR,Java Developer,unknown,1,0.2,81,23.33,5.0,1,3,0.2739,1.0,1.0,45.85,C
17812897,NE019,HR,Principal Network Engineer,lead,1,0.2,81,23.33,10.0,1,3,0.358,1.0,0.75,45.45,C
17812897,SE020,HR,Lead System Engineer,lead,1,0.2,81,23.33,10.0,1,3,0.4339,1.0,0.75,47.35,C
17812897,CA017,HR,Enterprise Cloud Architect,unknown,1,0.1667,81,23.33,12.0,1,3,0.2499,1.0,1.0,43.75,D
17812897,CSA-E-020,HR,Principal Security Analyst,lead,1,0.1667,81,23.33,7.0,1,3,0.3846,1.0,0.75,44.62,D
17812897,PD-E-014,HR,Product Designer,unknown,1,0.1667,81,23.33,5.0,1,3,0.4115,1.0,1.0,47.79,C
17812897,PD-E-019,HR,Product Designer,unknown,1,0.1667,81,23.33,5.0,1,3,0.4036,1.0,1.0,47.59,C
17812897,UIE020,HR,UI Designer,unknown,1,0.1667,81,23.33,5.0,1,3,0.3108,1.0,1.0,45.27,C
11592605,BI008,HR,BI Analyst - Fresher,junior,1,0.125,35,22.75,0.0,1,2,0.3409,1.0,0.6666666666666666,40.81,D
11592605,MRA-108,HR,Market Research Analyst,mid,1,0.1111,35,22.75,2.0,1,2,0.2363,1.0,0.6666666666666666,37.57,D
11592605,MRA-111,HR,Market Research Analyst,mid,1,0.1111,35,22.75,2.0,1,2,0.2841,1.0,0.6666666666666666,38.77,D
11592605,MRA-114,HR,Market Research Analyst,mid,1,0.1111,35,22.75,2.0,1,2,0.2582,1.0,0.6666666666666666,38.12,D
11592605,MRA-117,HR,Market Research Analyst,mid,1,0.1111,35,22.75,2.0,1,2,0.2841,1.0,0.6666666666666666,38.77,D
11592605,MRA-120,HR,Market Research Analyst,mid,1,0.1111,35,22.75,2.0,1,2,0.2582,1.0,0.6666666666666666,38.12,D
11592605,BA-101,HR,Business Analyst,fresher,1,0.1,35,22.75,0.0,1,2,0.3687,1.0,0.6666666666666666,40.38,D
11592605,BA-103,HR,Business Analyst,unknown,1,0.1,35,22.75,5.0,1,2,0.369,1.0,0.6666666666666666,40.39,D
11592605,BA-104,HR,Business Analyst,unknown,1,0.1,35,22.75,6.0,1,2,0.3882,1.0,0.6666666666666666,40.87,D
11592605,BA-105,HR,Business Analyst,fresher,1,0.1,35,22.75,0.0,1,2,0.3464,1.0,0.6666666666666666,39.83,D
25824789,GD-111,HR,Graphic Designer,mid,2,0.2,46,33.33,3.0,1,3,0.2642,1.0,1.0,45.6,C
25824789,GD-117,HR,Graphic Designer,mid,2,0.2,46,33.33,3.0,1,3,0.2348,1.0,1.0,44.87,D
25824789,GD-120,HR,Graphic Designer,mid,2,0.2,46,33.33,2.0,1,3,0.2703,1.0,1.0,45.76,C
25824789,NE019,HR,Principal Network Engineer,lead,1,0.2,46,33.33,10.0,1,3,0.3172,1.0,0.75,44.43,D
25824789,CW-009,HR,Content Writer,unknown,1,0.1,46,33.33,5.0,1,3,0.3421,1.0,1.0,43.05,D
25824789,CW-015,HR,Content Writer,unknown,1,0.1,46,33.33,5.0,1,3,0.2932,1.0,1.0,41.83,D
25824789,CW-016,HR,Content Writer,unknown,1,0.1,46,33.33,5.0,1,3,0.3343,1.0,1.0,42.86,D
25824789,CW-019,HR,Content Writer,unknown,1,0.1,46,33.33,5.0,1,3,0.334,1.0,1.0,42.85,D
25824789,CW-105,HR,Copywriter,unknown,1,0.1,46,33.33,5.0,1,3,0.2256,1.0,1.0,40.14,D
25824789,CW-106,HR,Copywriter,unknown,1,0.1,46,33.33,5.0,1,3,0.2122,1.0,1.0,39.8,D
15375009,NE019,HR,Principal Network Engineer,lead,1,0.2,45,17.08,10.0,1,4,0.3246,1.0,1.0,47.12,C
15375009,BA-101,HR,Business Analyst,fresher,1,0.1,45,17.08,0.0,1,4,0.4164,1.0,1.0,44.91,D
15375009,CW-009,HR,Content Writer,unknown,1,0.1,45,17.08,5.0,1,4,0.371,1.0,1.0,43.78,D
15375009,CW-015,HR,Content Writer,unknown,1,0.1,45,17.08,5.0,1,4,0.3585,1.0,1.0,43.46,D
15375009,CW-016,HR,Content Writer,unknown,1,0.1,45,17.08,5.0,1,4,0.3772,1.0,1.0,43.93,D
15375009,CW-019,HR,Content Writer,unknown,1,0.1,45,17.08,5.0,1,4,0.3894,1.0,1.0,44.24,D
15375009,CW-105,HR,Copywriter,unknown,1,0.1,45,17.08,5.0,1,4,0.2879,1.0,1.0,41.7,D
15375009,CW-106,HR,Copywriter,unknown,1,0.1,45,17.08,5.0,1,4,0.3072,1.0,1.0,42.18,D
15375009,CW-109,HR,Copywriter,unknown,1,0.1,45,17.08,5.0,1,4,0.3543,1.0,1.0,43.36,D
15375009,CW-110,HR,Copywriter,unknown,1,0.1,45,17.08,6.0,1,4,0.3339,1.0,1.0,42.85,D
11847784,NE019,HR,Principal Network Engineer,lead,1,0.2,11,19.25,10.0,1,3,0.3573,1.0,0.75,45.43,C
11847784,BI008,HR,BI Analyst - Fresher,junior,1,0.125,11,19.25,0.0,1,3,0.3486,1.0,1.0,44.34,D
11847784,MRA-108,HR,Market Research Analyst,mid,1,0.1111,11,19.25,2.0,1,3,0.2997,1.0,1.0,42.49,D
11847784,MRA-111,HR,Market Research Analyst,mid,1,0.1111,11,19.25,2.0,1,3,0.3371,1.0,1.0,43.43,D
11847784,MRA-114,HR,Market Research Analyst,mid,1,0.1111,11,19.25,2.0,1,3,0.3004,1.0,1.0,42.51,D
11847784,MRA-117,HR,Market Research Analyst,mid,1,0.1111,11,19.25,2.0,1,3,0.3371,1.0,1.0,43.43,D
11847784,MRA-120,HR,Market Research Analyst,mid,1,0.1111,11,19.25,2.0,1,3,0.3004,1.0,1.0,42.51,D
11847784,BA-101,HR,Business Analyst,fresher,1,0.1,11,19.25,0.0,1,3,0.3922,1.0,1.0,44.3,D
11847784,BA-104,HR,Business Analyst,unknown,1,0.1,11,19.25,6.0,1,3,0.3934,1.0,1.0,44.34,D
11847784,BA-105,HR,Business Analyst,fresher,1,0.1,11,19.25,0.0,1,3,0.3864,1.0,1.0,44.16,D
32896934,BA-109,HR,Business Analyst,fresher,1,0.1,41,41.25,0.0,1,3,0.4326,1.0,1.0,45.32,C
32896934,BA-113,HR,Business Analyst,fresher,1,0.1,41,41.25,0.0,1,3,0.4062,1.0,1.0,44.66,D
32896934,BA-117,HR,Business Analyst,fresher,1,0.1,41,41.25,0.0,1,3,0.4241,1.0,1.0,45.1,C
32896934,CW-002,HR,Content Writer,fresher,1,0.1,41,41.25,0.0,1,3,0.1798,1.0,1.0,39.0,D
32896934,OM-102,HR,Operations Manager,mid,1,0.1,41,41.25,3.0,1,3,0.48,1.0,1.0,46.5,C
32896934,OM-105,HR,Operations Manager,mid,1,0.1,41,41.25,4.0,1,3,0.4556,1.0,1.0,45.89,C
32896934,OM-108,HR,Operations Manager,mid,1,0.1,41,41.25,3.0,1,3,0.4151,1.0,1.0,44.88,D
32896934,OM-110,HR,Operations Manager,mid,1,0.1,41,41.25,4.0,1,3,0.4607,1.0,1.0,46.02,C
32896934,OM-112,HR,Operations Manager,fresher,1,0.1,41,41.25,0.0,1,3,0.4175,1.0,1.0,44.94,D
32896934,OM-113,HR,Operations Manager,mid,1,0.1,41,41.25,3.0,1,3,0.4232,1.0,1.0,45.08,C
29149998,JD-JAVA-020,HR,Java Developer,unknown,1,0.2,44,19.83,5.0,1,2,0.3323,1.0,0.6666666666666666,43.97,D
29149998,SE020,HR,Lead System Engineer,lead,1,0.2,44,19.83,10.0,1,2,0.4158,1.0,0.5,44.4,D
29149998,CA017,HR,Enterprise Cloud Architect,unknown,1,0.1667,44,19.83,12.0,1,2,0.297,1.0,0.6666666666666666,41.59,D
29149998,CSA-E-020,HR,Principal Security Analyst,lead,1,0.1667,44,19.83,7.0,1,2,0.4562,1.0,0.5,43.91,D
29149998,PD-E-014,HR,Product Designer,unknown,1,0.1667,44,19.83,5.0,1,2,0.4044,1.0,0.6666666666666666,44.28,D
29149998,PD-E-019,HR,Product Designer,unknown,1,0.1667,44,19.83,5.0,1,2,0.3505,1.0,0.6666666666666666,42.93,D
29149998,UIE020,HR,UI Designer,unknown,1,0.1667,44,19.83,5.0,1,2,0.3617,1.0,0.6666666666666666,43.21,D
29149998,UXE020,HR,UX Design Lead,unknown,1,0.1667,44,19.83,9.0,1,2,0.3886,1.0,0.6666666666666666,43.88,D
29149998,ETH-E-013,HR,Ethical Hacker,unknown,2,0.1538,44,19.83,10.0,1,2,0.3287,1.0,0.6666666666666666,41.81,D
29149998,ETH-E-020,HR,Ethical Hacker,unknown,2,0.1538,44,19.83,17.0,1,2,0.3597,1.0,0.6666666666666666,42.58,D
11480899,OM-102,HR,Operations Manager,mid,1,0.1,59,22.5,3.0,1,4,0.4472,1.0,1.0,45.68,C
11480899,OM-105,HR,Operations Manager,mid,1,0.1,59,22.5,4.0,1,4,0.4381,1.0,1.0,45.45,C
11480899,OM-108,HR,Operations Manager,mid,1,0.1,59,22.5,3.0,1,4,0.4155,1.0,1.0,44.89,D
11480899,OM-110,HR,Operations Manager,mid,1,0.1,59,22.5,4.0,1,4,0.4758,1.0,1.0,46.4,C
11480899,OM-112,HR,Operations Manager,fresher,1,0.1,59,22.5,0.0,1,4,0.5018,1.0,1.0,47.04,C
11480899,OM-113,HR,Operations Manager,mid,1,0.1,59,22.5,3.0,1,4,0.4284,1.0,1.0,45.21,C
11480899,OM-115,HR,Operations Manager,mid,1,0.1,59,22.5,4.0,1,4,0.4538,1.0,1.0,45.84,C
11480899,OM-117,HR,Operations Manager,fresher,1,0.1,59,22.5,0.0,1,4,0.5109,1.0,1.0,47.27,C
11480899,OM-118,HR,Operations Manager,mid,1,0.1,59,22.5,3.0,1,4,0.4434,1.0,1.0,45.58,C
11480899,OM-120,HR,Operations Manager,mid,1,0.1,59,22.5,4.0,1,4,0.4662,1.0,1.0,46.16,C
23155093,JD-JAVA-020,HR,Java Developer,unknown,1,0.2,34,25.92,5.0,1,2,0.2559,1.0,0.6666666666666666,42.06,D
23155093,NE019,HR,Principal Network Engineer,lead,1,0.2,34,25.92,10.0,1,2,0.3481,1.0,0.5,42.7,D
23155093,SE020,HR,Lead System Engineer,lead,1,0.2,34,25.92,10.0,1,2,0.4194,1.0,0.5,44.48,D
23155093,CA017,HR,Enterprise Cloud Architect,unknown,1,0.1667,34,25.92,12.0,1,2,0.2441,1.0,0.6666666666666666,40.27,D
23155093,CSA-E-020,HR,Principal Security Analyst,lead,1,0.1667,34,25.92,7.0,1,2,0.375,1.0,0.5,41.88,D
23155093,PD-E-014,HR,Product Designer,unknown,1,0.1667,34,25.92,5.0,1,2,0.3652,1.0,0.6666666666666666,43.3,D
23155093,PD-E-019,HR,Product Designer,unknown,1,0.1667,34,25.92,5.0,1,2,0.341,1.0,0.6666666666666666,42.69,D
23155093,UIE020,HR,UI Designer,unknown,1,0.1667,34,25.92,5.0,1,2,0.3402,1.0,0.6666666666666666,42.67,D
23155093,UXE020,HR,UX Design Lead,unknown,1,0.1667,34,25.92,9.0,1,2,0.3583,1.0,0.6666666666666666,43.13,D
23155093,ETH-E-011,HR,Ethical Hacker,unknown,2,0.1538,34,25.92,8.0,1,2,0.2715,1.0,0.6666666666666666,40.38,D
11763983,BI008,HR,BI Analyst - Fresher,junior,1,0.125,29,24.0,0.0,1,4,0.3741,1.0,1.0,44.98,D
11763983,MRA-108,HR,Market Research Analyst,mid,1,0.1111,29,24.0,2.0,1,4,0.3354,1.0,1.0,43.38,D
11763983,MRA-111,HR,Market Research Analyst,mid,1,0.1111,29,24.0,2.0,1,4,0.3802,1.0,1.0,44.5,D
11763983,MRA-114,HR,Market Research Analyst,mid,1,0.1111,29,24.0,2.0,1,4,0.3337,1.0,1.0,43.34,D
11763983,MRA-117,HR,Market Research Analyst,mid,1,0.1111,29,24.0,2.0,1,4,0.3802,1.0,1.0,44.5,D
11763983,MRA-120,HR,Market Research Analyst,mid,1,0.1111,29,24.0,2.0,1,4,0.3337,1.0,1.0,43.34,D
11763983,BA-101,HR,Business Analyst,fresher,1,0.1,29,24.0,0.0,1,4,0.3874,1.0,1.0,44.18,D
11763983,BA-104,HR,Business Analyst,unknown,1,0.1,29,24.0,6.0,1,4,0.3296,1.0,1.0,42.74,D
11763983,BA-105,HR,Business Analyst,fresher,1,0.1,29,24.0,0.0,1,4,0.3921,1.0,1.0,44.3,D
11763983,BA-108,HR,Business Analyst,unknown,1,0.1,29,24.0,6.0,1,4,0.3358,1.0,1.0,42.9,D
27490876,JD-JAVA-020,HR,Java Developer,unknown,1,0.2,29,19.33,5.0,1,4,0.2546,1.0,1.0,45.36,C
27490876,SE020,HR,Lead System Engineer,lead,1,0.2,29,19.33,10.0,1,4,0.3163,1.0,1.0,46.91,C
27490876,CA017,HR,Enterprise Cloud Architect,unknown,1,0.1667,29,19.33,12.0,1,4,0.2331,1.0,1.0,43.33,D
27490876,CSA-E-020,HR,Principal Security Analyst,lead,1,0.1667,29,19.33,7.0,1,4,0.3981,1.0,1.0,47.45,C
